iter	Passed	Remaining
758	6049	1920
759	6051	1911
760	6054	1901
761	6056	1891
762	6059	1882
763	6061	1872
764	6065	1863
765	6081	1857
766	6083	1848
767	6085	1838
768	6088	1828
769	6091	1819
770	6098	1811
771	6102	1802
772	6106	1793
773	6117	1786
774	6119	1776
775	6123	1767
776	6150	1765
777	6160	1757
778	6162	1748
779	6164	1738
780	6168	1729
781	6173	1720
782	6176	1711
783	6180	1702
784	6189	1695
785	6192	1686
786	6194	1676
787	6211	1671
788	6218	1663
789	6220	1653
790	6240	1648
791	6242	1639
792	6250	1631
793	6254	1622
794	6262	1614
795	6265	1605
796	6267	1596
797	6290	1592
798	6294	1583
799	6296	1574
800	6298	1564
801	6300	1555
802	6306	1547
803	6310	1538
804	6312	1529
805	6315	1520
806	6324	1512
807	6329	1503
808	6332	1495
809	6337	1486
810	6345	1478
811	6348	1469
812	6354	1461
813	6359	1453
814	6363	1444
815	6367	1435
816	6370	1426
817	6374	1418
818	6377	1409
819	6392	1403
820	6398	1394
821	6400	1386
822	6405	1377
823	6407	1368
824	6412	1360
825	6415	1351
826	6420	1343
827	6424	1334
828	6426	1325
829	6429	1316
830	6433	1308
831	6459	1304
832	6462	1295
833	6464	1286
834	6471	1278
835	6478	1270
836	6481	1262
837	6486	1253
838	6490	1245
839	6509	1239
840	6522	1233
841	6536	1226
842	6593	1227
843	6601	1220
844	6605	1211
845	6616	1204
846	6619	1195
847	6621	1186
848	6623	1178
849	6625	1169
850	6630	1160
851	6633	1152
852	6636	1143
853	6651	1137
854	6654	1128
855	6660	1120
856	6663	1111
857	6665	1103
858	6678	1096
859	6680	1087
860	6681	1078
861	6683	1070
862	6685	1061
863	6687	1052
864	6695	1044
865	6698	1036
866	6700	1027
867	6702	1019
868	6708	1011
869	6710	1002
870	6712	994
871	6714	985
872	6716	977
873	6718	968
874	6719	959
875	6721	951
876	6723	942
877	6724	934
878	6726	925
879	6730	917
880	6731	909
881	6733	900
882	6735	892
883	6737	884
884	6739	875
885	6741	867
886	6745	859
887	6755	852
888	6760	844
889	6763	835
890	6765	827
891	6767	819
892	6769	811
893	6771	802
894	6775	794
895	6780	787
896	6783	778
897	6786	770
898	6788	762
899	6792	754
900	6797	746
901	6799	738
902	6804	730
903	6807	722
904	6809	714
905	6811	706
906	6813	698
907	6822	691
908	6825	683
909	6828	675
910	6830	667
911	6833	659
912	6841	651
913	6843	643
914	6844	635
915	6846	627
916	6849	620
917	6854	612
918	6856	604
919	6858	596
920	6862	588
921	6868	581
922	6870	573
923	6879	565
924	6881	557
925	6983	558
926	6989	550
927	6996	542
928	6999	534
929	7002	527
930	7004	519
931	7011	511
932	7013	503
933	7018	495
934	7019	488
935	7023	480
936	7026	472
937	7048	465
938	7050	458
939	7053	450
940	7057	442
941	7060	434
942	7063	426
943	7072	419
944	7075	411
945	7079	404
946	7086	396
947	7090	388
948	7093	381
949	7128	375
950	7139	367
951	7142	360
952	7146	352
953	7152	344
954	7155	337
955	7158	329
956	7160	321
957	7164	314
958	7167	306
959	7205	300
960	7216	292
961	7222	285
962	7226	277
963	7233	270
964	7236	262
965	7247	255
966	7252	247
967	7255	239
968	7259	232
969	7297	225
970	7299	217
971	7301	210
972	7327	203
973	7334	195
974	7339	188
975	7341	180
976	7343	172
977	7344	165
978	7347	157
979	7353	150
980	7355	142
981	7357	134
982	7359	127
983	7362	119
984	7366	112
985	7372	104
986	7376	97
987	7380	89
988	7383	82
989	7386	74
990	7388	67
991	7391	59
992	7401	52
993	7404	44
994	7409	37
995	7416	29
996	7443	22
997	7451	14
998	7456	7
999	7459	0
